CodeCommune;type_donnees;numero_annee;s52;s51;s50;s49;s48;s47;s46;s45;s44;s43;s42;s41;s40;s39;s38;s37;s36;s35;s34;s33;s32;s31;s30;s29;s28;s27;s26;s25;s24;s23;s22;s21;s20;s19;s18;s17;s16;s15;s14;s13;s12;s11;s10;s09;s08;s07;s06;s05;s04;s03;s02;s01
MDG43404092;PRECIPITATION;2014;45.8637984;50.5744054;54.8249618;17.26126499;41.0317108;14.63714076;0.40763086;39.6468126;0.05104021;1.357092;0.904292;56.48268;0.1466795;0.02999215;0;0;0.10507636;0;0.2704173;0;0.26809316;0.11549424;7.5152894;2.22788143;0;0.03673742;0.02788009;1.42508535;0.2781867;0;0;0.9061319;0;0.1574743;0.06936479;0;7.72347258;0.03324877;32.2146893;66.277391;42.16976636;13.02251322;9.88349607;45.23627145;69.299803;98.7097588;99.709958;73.695975;33.3327616;205.455794;24.81319893;94.5160096
MDG43404111;PRECIPITATION;2014;42.7318603;61.7036811;14.8673824;2.3860417;21.7657945;13.9267419;0.04720571;20.0133587;0;0.1777916;0.2452928;119.943;0;0;0;0;0;0;0.0339463;0;0;0;7.6024977;0.28097378;0;0;0;0.1711663;0.03382666;0;0;0.1239578;0;0;0;0;12.9464163;0;53.7272819;122.75682;24.315726;22.7694299;17.1081158;30.0903917;85.048769;144.4713036;105.0979512;35.8523006;49.5833143;295.4236553;39.31854189;91.608043
MDG43404112;PRECIPITATION;2014;42.7318603;61.7036811;14.8673824;2.3860417;21.7657945;13.9267419;0.04720571;20.0133587;0;0.1777916;0.2452928;119.943;0;0;0;0;0;0;0.0339463;0;0;0;7.6024977;0.28097378;0;0;0;0.1711663;0.03382666;0;0;0.1239578;0;0;0;0;12.9464163;0;53.7272819;122.75682;24.315726;22.7694299;17.1081158;30.0903917;85.048769;144.4713036;105.0979512;35.8523006;49.5833143;295.4236553;39.31854189;91.608043
MDG43404131;PRECIPITATION;2014;44.100498;58.88726;20.36596757;5.095399;28.07422693;14.251948;0.32438539;22.44632818;0.03632313;0.3221391;0.6673163;91.8877;0;0.18322298;0.09191514;0;0.51165121;0.04750124;0.1253965;0.19573412;0.46456442;0.15737321;8.86499957;2.19255742;0.25077946;0.46738322;0.4975344;0.86984274;0.97659838;0.34988053;0.18204627;0.49900772;0;0.2567068;0.81530678;0;11.37747601;1.05681372;45.9082312;99.67667161;27.622199;23.8724909;19.17254107;32.8045439;85.7897887;130.2174775;108.136371;51.3535087;56.328578;264.612669;34.10417562;93.74482
MDG43404132;PRECIPITATION;2014;44.100498;58.88726;20.36596757;5.095399;28.07422693;14.251948;0.32438539;22.44632818;0.03632313;0.3221391;0.6673163;91.8877;0;0.18322298;0.09191514;0;0.51165121;0.04750124;0.1253965;0.19573412;0.46456442;0.15737321;8.86499957;2.19255742;0.25077946;0.46738322;0.4975344;0.86984274;0.97659838;0.34988053;0.18204627;0.49900772;0;0.2567068;0.81530678;0;11.37747601;1.05681372;45.9082312;99.67667161;27.622199;23.8724909;19.17254107;32.8045439;85.7897887;130.2174775;108.136371;51.3535087;56.328578;264.612669;34.10417562;93.74482
MDG43404150;PRECIPITATION;2014;43.5335021;53.8763308;34.0095914;9.58002;30.3495067;13.561421;0.75378282;28.84017919;0;0.744126;0.4990217;71.02388;0.03754967;0;0;0;0;0;0.1464783;0;0.06323555;0.02097813;7.0566716;1.22262491;0.137892;0;0;0.733135;0.1502343;0;0;0.499234;0;0.02835054;0;0;12.20463485;1.486896;36.0066535;67.06942807;25.139498;13.87618065;11.81942557;38.497364;96.855003;96.809882;87.442626;46.004487;40.2512888;249.10829;45.828851;113.485677
MDG43404171;PRECIPITATION;2014;50.4011164;38.735613;95.94156414;34.83129775;62.68545581;16.72325551;2.982159;63.91501;1.01924034;2.687887;1.772547;9.091465;0.4397171;0.28340648;0;0;0.26857419;0;0.5426612;0;0.6505342;0.35735884;7.32844283;4.6581772;0;0.09596524;0.1024771;2.90056837;0.5746524;0;0;1.764733;0;0.48412014;0.24634451;0.09908102;1.46496361;0.09632877;8.490598;14.7799857;64.21905601;2.5358024;2.03362603;61.82228514;48.2160519;46.7457531;94.244352;118.84781;18.1853715;91.323002;8.45032189;88.5919737
MDG43404172;PRECIPITATION;2014;50.6107389;36.627102;102.3811509;38.446692;77.0074094;19.8570491;3.0036994;66.544929;1.12489469;2.9508307;1.836349;3.181782;0.4672643;1.20539319;0.601627;0;2.1406498;0;0.8792301;1.1497373;2.2045181;1.4921452;14.4891517;8.85750938;0.9925284;2.2256428;3.51549587;5.3187517;2.63581388;1.1254844;0.42240026;3.29965815;0;1.76883782;4.5041821;0.06507311;1.37428804;3.60486342;5.02732011;9.1665978;71.63632659;4.33778885;6.72465779;65.3637545;48.5914616;40.2088566;94.878276;122.165376;19.0767453;82.208626;7.574777;87.7280358
MDG43404173;PRECIPITATION;2014;50.6107389;36.627102;102.3811509;38.446692;77.0074094;19.8570491;3.0036994;66.544929;1.12489469;2.9508307;1.836349;3.181782;0.4672643;1.20539319;0.601627;0;2.1406498;0;0.8792301;1.1497373;2.2045181;1.4921452;14.4891517;8.85750938;0.9925284;2.2256428;3.51549587;5.3187517;2.63581388;1.1254844;0.42240026;3.29965815;0;1.76883782;4.5041821;0.06507311;1.37428804;3.60486342;5.02732011;9.1665978;71.63632659;4.33778885;6.72465779;65.3637545;48.5914616;40.2088566;94.878276;122.165376;19.0767453;82.208626;7.574777;87.7280358
MDG43404191;PRECIPITATION;2014;42.7318603;61.7036811;14.8673824;2.3860417;21.7657945;13.9267419;0.04720571;20.0133587;0;0.1777916;0.2452928;119.943;0;0;0;0;0;0;0.0339463;0;0;0;7.6024977;0.28097378;0;0;0;0.1711663;0.03382666;0;0;0.1239578;0;0;0;0;12.9464163;0;53.7272819;122.75682;24.315726;22.7694299;17.1081158;30.0903917;85.048769;144.4713036;105.0979512;35.8523006;49.5833143;295.4236553;39.31854189;91.608043
